1681|C_ZDY_15|维护、保养、检测未作好记录，并由有关人员签字
1682|C_ZDY_16|危险化学品单位未明确重大危险源中关键装置、重点部位的责任人或者责任机构，并对重大危险源的安全生产状况进行定期检查等
1683|C_ZDY_16|事故隐患难以立即排除的，未及时制定治理方案，落实整改措施、责任、资金、时限和预案
1684|C_ZDY_17|危险化学品单位未对重大危险源的管理和操作岗位人员进行安全操作技能培训，使其了解重大危险源的危险特性等
1685|C_ZDY_18|危险化学品单位未在重大危险源所在场所设置明显的安全警示标志，写明紧急情况下的应急处置办法
1686|C_ZDY_19|危险化学品单位未将重大危险源可能发生的事故后果和应急措施等信息，以适当方式告知可能受影响的单位、区域及人员
1687|C_ZDY_20|危险化学品单位未依法制定重大危险源事故应急预案，建立应急救援组织或者配备应急救援人员等
1688|C_ZDY_20|对存在吸入性有毒、有害气体的重大危险源等
1689|C_ZDY_20|涉及剧毒气体的重大危险源，还未配备两套以上（含本数）气密型化学防护服
1690|C_ZDY_20|涉及易燃易爆气体或者易燃液体蒸气的重大危险源，还未配备一定数量的便携式可燃气体检测设备
1691|C_ZDY_21|危险化学品单位未制定重大危险源事故应急预案演练计划，并按照下列要求进行事故应急预案演练：（一）对重大危险源专项应急预案等
1692|C_ZDY_21|应急预案演练结束后，危险化学品单位未对应急预案演练效果进行评估，撰写应急预案演练评估报告，分析存在的问题等
1693|C_ZDY_22|危险化学品单位未对辨识确认的重大危险源及时、逐项进行登记建档
1694|C_ZDY_22|重大危险源档案未包括下列文件、资料：（一）辨识、分级记录
1695|C_ZDY_23|危险化学品单位在完成重大危险源安全评估报告或者安全评价报告后15日内，未填写重大危险源备案申请表等
1696|C_ZDY_23|县级人民政府安全生产监督管理部门未每季度将辖区内的一级、二级重大危险源备案材料报送至设区的市级人民政府安全生产监督管理部
1697|C_ZDY_23|设区的市级人民政府安全生产监督管理部门未每半年将辖区内的一级重大危险源备案材料报送至省级人民政府安全生产监督管理部门
1698|C_ZDY_23|重大危险源出现本规定第十一条所列情形之一的，危险化学品单位未及时更新档案等
1699|C_ZDY_24|危险化学品单位新建、改建和扩建危险化学品建设项目等
1700|C_ZDY_25|县级人民政府安全生产监督管理部门未建立健全危险化学品重大危险源管理制度，明确责任人员，加强资料归档
1701|C_ZDY_26|县级人民政府安全生产监督管理部门未在每年1月15日前等
1702|C_ZDY_26|设区的市级人民政府安全生产监督管理部门未在每年1月31日前等
1703|C_ZDY_26|省级人民政府安全生产监督管理部门未在每年2月15日前，将辖区内上一年度重大危险源的汇总信息报送至国家安全生产监督管理总局
1704|C_ZDY_27|重大危险源经过安全评价或者安全评估不再构成重大危险源的，危险化学品单位未向所在地县级人民政府安全生产监督管理部门申请核销
1705|C_ZDY_27|申请核销重大危险源未提交下列文件、资料：（一）载明核销理由的申请书
1706|C_ZDY_28|县级人民政府安全生产监督管理部门未自收到申请核销的文件、资料之日起30日内进行审查，符合条件的，予以核销并出具证明文书
1707|C_ZDY_28|必要时，县级人民政府安全生产监督管理部门未聘请有关专家进行现场核查
1708|C_ZDY_29|县级人民政府安全生产监督管理部门未每季度将辖区内一级、二级重大危险源的核销材料报送至设区的市级人民政府安全生产监督管理部
1709|C_ZDY_29|设区的市级人民政府安全生产监督管理部门未每半年将辖区内一级重大危险源的核销材料报送至省级人民政府安全生产监督管理部门
1710|C_ZDY_30|县级以上地方各级人民政府安全生产监督管理部门未加强对存在重大危险源的危险化学品单位的监督检查等
1711|C_ZDY_30|首次对重大危险源的监督检查未包括下列主要内容：（一）重大危险源的运行情况、安全管理规章制度及安全操作规程制定和落实情况
1712|C_ZDY_30|安全生产监督管理部门在监督检查中发现重大危险源存在事故隐患的，未责令立即排除
1713|C_ZDY_30|重大事故隐患排除前或者排除过程中无法保证安全的，未责令从危险区域内撤出作业人员，责令暂时停产停业或者停止使用
1714|C_ZDY_31|县级以上地方各级人民政府安全生产监督管理部门未会同本级人民政府有关部门等
1715|C_ZDY_37|Q1,Q2,…,Qn—与各危险化学品相对未的临界量（单位：吨）
1716|C_ZDY_37|β1，β2…,βn—与各危险化学品相对未的校正系数
1717|C_ZDY_37|表4危险化学品重大危险源级别和R值的对未关系危险化学品重大危险源级别R值一级R≥100二级100>R≥50三级50>R≥
1718|C_ZDY_37|通过定量风险评价，危险化学品单位周边重要目标和敏感场所承受的个人风险未满足表1中可容许风险标准要求
1719|C_ZDY_37|通过定量风险评价，危险化学品重大危险源产生的社会风险未满足图1中可容许社会风险标准要求
1720|C_ZDY_7|危险化学品单位未按照《危险化学品重大危险源辨识》标准等
1721|C_ZDY_8|危险化学品单位未对重大危险源进行安全评估并确定重大危险源等级
1722|C_ZDY_9|重大危险源有下列情形之一的，未委托具有相应资质的安全评价机构，按照有关标准的规定采用定量风险评价方法进行安全评估等
