H_12158_8_4_2_1|消防车、消防艇以及消防器材、装备和设施，用于与消防和应急救援工作无关的事项
H_12158_8_4_3_1|负有安全生产监督管理职责的部门未明确负责安全生产监督管理工作的机构和人员，加强专业监管力量建设等
H_12158_8_5_1_3|粉尘爆炸危险场所未制定设备设施检修安全作业制度和应急处置措施
H_12158_8_5_2_1|检修作业未进行审批
H_12158_8_5_2_2|未定期对粉尘爆炸危险场所中的设备传动装置（齿轮、滑轮、胶带运输机托辊、轴承等）、润滑系统以及除尘系统、电气设备等进行检修
H_12158_8_5_4_1|抑爆、泄爆、隔爆及火花探测器等安全装置未定期进行检验检查和维护
H_12158_8_5_5_1|检修前，未停止所有设备运转，清洁检修现场地面和设备表面沉积的粉尘
H_12158_8_5_6_1|检修作业未采用防止产生火花的防爆工具，禁止使用铁质检修作业工具
H_12158_8_6_1_1|未按照设备检修维护规程和程序作业，粉尘爆炸危险场所禁止交叉作业
H_12158_8_6_2_1|粉尘爆炸危险场所作业人员未按GB/T11651的有关规定，使用个体劳动防护用品
H_12158_8_6_2_2|在工艺流程中使用惰性气体或可能释放出有毒气体的场所，未配备可保证作业人员安全的呼吸保护装置
H_12158_8_6_3_1|粉尘爆炸危险场所作业人员穿化纤类易产生静电的工作服
H_12158_8_6_4_1|企业未辨识所存在的粉尘爆炸危险场所，确定可燃性粉尘爆炸危险性以及粉尘爆炸危险场所的数量、位置、危险区域等等
H_12158_8_7_1_1|企业未根据本标准并结合自身工艺、设备、粉尘爆炸特性、爆炸防护措施及安全管理制度等制定粉尘防爆安全检查表等
H_12158_8_7_2_1|企业未开展粉尘防爆安全教育及培训，普及粉尘防爆安全知识和有关法规、标准等
H_12158_8_7_3_1|企业主要负责人、安全管理人员和粉尘爆炸危险岗位的作业人员及设备设施检维修人员未进行专项粉尘防爆安全技术培训等
H_12158_8_7_3_2|企业未编制粉尘爆炸事故应急预案，并定期开展应急演练
H_12158_8_8_1_1|粉尘爆炸危险场所的出入口、生产区域及重点危险设备设施等部位，未设置显著的安全警示标识
H_12158_8_8_1_3|-22区未为在正常运行时，爆炸性粉尘环境一般不可能出现的区域，即使出现，持续时间也是短暂的
H_12158_8_8_1_4|如为多层建未采用框架结构
H_12158_8_8_2_1|存在粉尘爆炸危险场所的建筑物未设置符合GB50016等要求的泄爆面积
H_12158_8_8_3_1|对涉及粉尘爆炸危险的工程及工艺设计，当有专门的国家标准时，未符合标准规定
H_12158_8_8_4_1|梁、支架、墙及设备等未具有便于清洁的表面结构
H_12158_8_8_5_1|粉尘爆炸危险场所（区域）未设有符合GB50016相关规定的安全出口，其中至少有一个直通室外的安全出口
H_12158_8_8_5_2|具有自燃性的热粉料，贮存前未冷却到正常贮存温度
H_12158_8_8_5_3|在通常贮存条件下，大量贮存具有自燃性的散装粉料时，未对粉料温度进行连续监测
H_12158_9_10_1|当发现温度升高或气体析出时，未采取使粉料冷却的措施
H_12158_9_11_1|对遇湿自燃的金属粉尘，其收集、堆放与贮存时未采取防水防潮措施
H_12158_9_11_2|粉尘爆炸危险场所存在明火
H_12158_9_11_3|当需要进行动火作业时，未遵守下列规定
H_12158_9_12_1|动火作业前，未清除动火作业场所10m范围内的可燃粉尘并配备充足的灭火器材
H_12158_9_13_1|动火作业区段内涉粉作业设备未停止运行
H_12158_9_16_1|动火作业后未全面检查设备内外部，确保无热熔焊渣遗留，防止粉尘阴燃
H_12158_9_18_1|与粉尘直接接触的设备或装置（如电机外壳、传动轴、加热源等），其表面最高允许温度未低于相应粉尘的最低着火温度
H_12158_9_19_1|有过热可能时，未设置轴承温度连续监测装置
H_12158_9_20_1|当发生皮带打滑时，未自动停机或发出声光报警信号
H_12158_9_20_2|粉尘爆炸危险场所建（构）筑物未按GB50057中有关规定采取相应防雷措施
H_12158_9_2_1|使用皮带传动时未设置打滑监测装置
H_12158_9_3_1|金属管道连接处（如法兰），未进行防静电跨接
H_129240A4AEC9DE65F9C9362508_1|粉尘爆炸危险场所用电气设备未符合GB12476.1、GB/T3836.15的相关规定
H_129240A4AEC9DE65F9C9362508_2|未防止由电气设备或线路产生的过热及火花，防止可燃性粉尘进入产生电火花或高温部件的外壳内
H_129240A4AEC9DE65F9C9362508_3|粉尘爆炸危险场所电气设计、安装未按GB50058的有关规定执行
H_129240A4AEC9DE65F9C9362508_4|粉尘爆炸危险场所设备和装置未采取防止发生摩擦、碰撞的措施
H_129240A4AEC9DE65F9C9362508_5|在工艺流程的进料处，未设置能除去混入料中杂物的磁铁、气动分离器或筛子等防止杂物进入的设备或设施
H_12FEBA23599B131ED51661E2C7_1|未采取有效措施防止铝、镁、钛、错等金属粉末或含有这些金属的粉末与锈钢摩擦产生火花
